rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
390,1988,2h 4m,12,8.0,(207K),68.0,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.", Akira,a secret military project endangers neotokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager his gang of biker friends and a group of psychics
391,2007,1h 55m,12A,8.0,(660K),85.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer., The Bourne Ultimatum,jason bourne dodges a ruthless cia official and his agents from a new assassination program while searching for the origins of his life as a trained killer
392,1969,1h 50m,PG,8.0,(227K),66.0,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels. After considering their options, they escape to South America.", Butch Cassidy and the Sundance Kid,in s wyoming butch cassidy and the sundance kid lead a band of outlaws when a train robbery goes wrong they find themselves on the run with a posse hard on their heels after considering their options they escape to south america
393,1973,2h 31m,15,8.0,(139K),58.0,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.", Papillon,a french convict in the s befriends a fellow criminal as the two of them begin serving their sentence in the south american penal colony on devils island which inspires the man to plot his escape
394,1991,3h 9m,15,8.0,(171K),72.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story., JFK,new orleans district attorney jim garrison discovers theres more to the kennedy assassination than the official story
395,1996,2h 15m,15,8.0,(99K),85.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.", Sling Blade,karl childers a simple man hospitalized since his childhood murder of his mother and her lover is released to start a new life in a small town
396,1994,1h 42m,12,8.0,(97K),78.0,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.", Chungking Express,two melancholic hong kong policemen fall in love one with a mysterious female underworld figure the other with a beautiful and ethereal waitress at a latenight restaurant he frequents
397,1959,2h 41m,X,8.0,(72K),95.0,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?", Anatomy of a Murder,an upstate michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife what is the truth and will he win his case
398,1962,2h 14m,18,8.0,(62K),75.0,A former child star torments her paraplegic sister in their decaying Hollywood mansion., What Ever Happened to Baby Jane?,a former child star torments her paraplegic sister in their decaying hollywood mansion
399,1979,1h 34m,AA,8.0,(423K),77.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.", Life of Brian,born on the original christmas in the stable next door to jesus christ brian of nazareth spends his life being mistaken for a messiah
400,1977,1h 33m,AA,8.0,(279K),92.0,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.", Annie Hall,alvy singer a divorced jewish comedian reflects on his relationship with exlover annie hall an aspiring nightclub singer which ended abruptly just like his previous marriages
401,1971,1h 58m,X,8.0,(53K),93.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.", The Last Picture Show,in a group of high schoolers come of age in a bleak isolated atrophied north texas town that is slowly dying both culturally and economically
402,1953,1h 58m,Approved,8.0,(148K),78.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome., Roman Holiday,a bored and sheltered princess escapes her guardians and falls in love with an american newsman in rome
403,2008,1h 46m,15,8.0,(234K),59.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.", Ip Man,during the japanese invasion of china a wealthy martial artist is forced to leave his home when his city is occupied with little means of providing for themselves ip man and the remaining members of the city must find a way to survive
404,1984,1h 57m,,8.0,(184K),86.0,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet., NausicaÃ¤ of the Valley of the Wind,warrior and pacifist princess nausica desperately struggles to prevent two warring nations from destroying themselves and their dying planet
405,1982,3h 11m,PG,8.0,(241K),79.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest., Gandhi,the life of the lawyer who became the famed leader of the indian revolts against the british rule through his philosophy of nonviolent protest
406,1971,3h 1m,U,8.0,(48K),67.0,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.", Fiddler on the Roof,in prerevolutionary russia a jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing antisemitic sentiment threatens his village
407,1963,2h 18m,A,8.0,(126K),93.0,A harried movie director retreats into his memories and fantasies., Federico Fellini's 8Â½,a harried movie director retreats into his memories and fantasies
408,1967,1h 45m,PG,8.0,(58K),90.0,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner., Le SamouraÃ¯,after professional hitman jef costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner
409,1959,2h 21m,PG,8.0,(68K),93.0,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.", Rio Bravo,a smalltown sheriff in the american west enlists the help of a disabled man a drunk and a young gunfighter in his efforts to hold in jail the brother of the local bad guy
